"","wave","day","amp","phase","cvel","amp_std"
"535",5,54,0,0,0,-1.89632872443652
"536",6,54,0,0,0,-1.98116254652041
"537",7,54,0,0,0,-1.73874079469789
"538",8,54,0,0,0,-1.84112729941183
"539",9,54,0,0,0,-1.76642195152509
"540",10,54,0,0,0,-1.74091380410684
"541",1,55,0,0,0,-2.3704036949801
"542",2,55,0,0,0,-2.38016156714025
"543",3,55,0,0,0,-2.1917119440958
"544",4,55,0,0,0,-2.07046202024931
"545",5,55,0,0,0,-1.89632872443652
"546",6,55,0,0,0,-1.98116254652041
"547",7,55,0,0,0,-1.73874079469789
"548",8,55,0,0,0,-1.84112729941183
"549",9,55,0,0,0,-1.76642195152509
"550",10,55,0,0,0,-1.74091380410684
"551",1,56,0,0,0,-2.3704036949801
"552",2,56,0,0,0,-2.38016156714025
"553",3,56,0,0,0,-2.1917119440958
"554",4,56,0,0,0,-2.07046202024931
"555",5,56,0,0,0,-1.89632872443652
"556",6,56,0,0,0,-1.98116254652041
"557",7,56,0,0,0,-1.73874079469789
"558",8,56,0,0,0,-1.84112729941183
"559",9,56,0,0,0,-1.76642195152509
"560",10,56,0,0,0,-1.74091380410684
"561",1,57,0,0,0,-2.3704036949801
"562",2,57,0,0,0,-2.38016156714025
"563",3,57,0,0,0,-2.1917119440958
"564",4,57,0,0,0,-2.07046202024931
"565",5,57,0,0,0,-1.89632872443652
"566",6,57,0,0,0,-1.98116254652041
"567",7,57,0,0,0,-1.73874079469789
"568",8,57,0,0,0,-1.84112729941183
"569",9,57,0,0,0,-1.76642195152509
"570",10,57,0,0,0,-1.74091380410684
"571",1,58,0,0,0,-2.3704036949801
"572",2,58,0,0,0,-2.38016156714025
"573",3,58,0,0,0,-2.1917119440958
"574",4,58,0,0,0,-2.07046202024931
"575",5,58,0,0,0,-1.89632872443652
"576",6,58,0,0,0,-1.98116254652041
"577",7,58,0,0,0,-1.73874079469789
"578",8,58,0,0,0,-1.84112729941183
"579",9,58,0,0,0,-1.76642195152509
"580",10,58,0,0,0,-1.74091380410684
"581",1,59,0,0,0,-2.3704036949801
"582",2,59,0,0,0,-2.38016156714025
"583",3,59,0,0,0,-2.1917119440958
"584",4,59,0,0,0,-2.07046202024931
"585",5,59,0,0,0,-1.89632872443652
"586",6,59,0,0,0,-1.98116254652041
"587",7,59,0,0,0,-1.73874079469789
"588",8,59,0,0,0,-1.84112729941183
"589",9,59,0,0,0,-1.76642195152509
"590",10,59,0,0,0,-1.74091380410684
"591",1,60,0,0,0,-2.37277963422463
"592",2,60,0,0,0,-2.09980413310924
"593",3,60,0,0,0,-2.05819025319156
"594",4,60,0,0,0,-1.94377211789313
"595",5,60,0,0,0,-1.98852872606536
"596",6,60,0,0,0,-1.9003219980668
"597",7,60,0,0,0,-1.93671091660842
"598",8,60,0,0,0,-1.79963447527927
"599",9,60,0,0,0,-1.77215069331621
"600",10,60,0,0,0,-1.76827207386699
"601",1,61,0,0,0,-2.37277963422463
"602",2,61,0,0,0,-2.09980413310924
"603",3,61,0,0,0,-2.05819025319156
"604",4,61,0,0,0,-1.94377211789313
"605",5,61,0,0,0,-1.98852872606536
"606",6,61,0,0,0,-1.9003219980668
"607",7,61,0,0,0,-1.93671091660842
"608",8,61,0,0,0,-1.79963447527927
"609",9,61,0,0,0,-1.77215069331621
"610",10,61,0,0,0,-1.76827207386699
"611",1,62,0,0,0,-2.37277963422463
"612",2,62,0,0,0,-2.09980413310924
"613",3,62,0,0,0,-2.05819025319156
"614",4,62,0,0,0,-1.94377211789313
"615",5,62,0,0,0,-1.98852872606536
"616",6,62,0,0,0,-1.9003219980668
"617",7,62,0,0,0,-1.93671091660842
"618",8,62,0,0,0,-1.79963447527927
"619",9,62,0,0,0,-1.77215069331621
"620",10,62,0,0,0,-1.76827207386699
"621",1,63,0,0,0,-2.37277963422463
"622",2,63,0,0,0,-2.09980413310924
"623",3,63,0,0,0,-2.05819025319156
"624",4,63,0,0,0,-1.94377211789313
"625",5,63,0,0,0,-1.98852872606536
"626",6,63,0,0,0,-1.9003219980668
"627",7,63,0,0,0,-1.93671091660842
"628",8,63,0,0,0,-1.79963447527927
"629",9,63,0,0,0,-1.77215069331621
"630",10,63,0,0,0,-1.76827207386699
"631",1,64,0,0,0,-2.37277963422463
"632",2,64,0,0,0,-2.09980413310924
